Deptartment,Cleaned_skill_list
Java,"[‘java’, ‘maven’, ‘OOPs’, ‘Design Patterns’, ‘Interface’, ‘Serialization’, 'SpringMVC’, ‘Play’, ‘Java Server Faces’, ‘sql', ‘kafka']"
Java,"[‘java’, ‘maven’, ‘‘OOPs’, ‘Design Patterns’, ‘Interface’, ‘Serialization’,  ‘Servlets’, ‘Java Beans(EJB)’, ‘Java Server Pages(JSP)’]"
Java,"[‘java’, ‘maven’, ‘Hibernate’, ‘OpenJPA’,  ‘Servlets’, ‘Java Beans(EJB)’, ‘Java Server Pages(JSP)’, ‘docker']"
Java,"[‘java’, ‘maven’, 'SpringMVC’, ‘Play’, ‘Java Server Faces’, ‘kubernetes', ‘rest apis’, ‘kafka']"
Java,"[‘java’, ‘maven’, ‘Hibernate’, ‘OpenJPA’,  ‘Servlets’, ‘Java Beans(EJB)’, ‘Java Server Pages(JSP)’, ‘sql’, ‘mysql']"
Java,"[‘java’, ‘maven’, ‘Servlets’, ‘Java Beans(EJB)’, ‘Java Server Pages(JSP)’, ‘mysql’, ‘kubernetes’, ‘docker']"
Java,"[‘maven’,‘Hibernate’, ‘OpenJPA’,  ‘Servlets’, ‘Java Beans(EJB)’, ‘Java Server Pages(JSP)’, ‘Play’]"
Java,"[‘java’, ‘maven’, ‘Hibernate’, ‘OpenJPA’, 'SpringMVC’, ‘Play’, ‘Java Server Faces’]"
Java,"[‘java’, ‘maven’, 'SpringMVC’, ‘Play’, ‘Java Server Faces’,  ‘Servlets’, ‘Java Beans(EJB)’, ‘Java Server Pages(JSP)’, ‘docker’, ‘sql']"
Scala,"['Scala', 'Spark', ‘Akka’,  ‘Scalding’, ‘Play’, ‘Lift’, ‘Scalatra’, ‘Scalaz’, ‘sbt’]"
Scala,"['Scala', 'Spark', ‘Scalding’, ‘Play’, ‘Lift’, ‘Scalatra’, ‘Scalaz’,’sbt’ ]"
Scala,"[‘Akka’, ‘Cats’, ‘ScalaTest’, ‘Specs2’, ‘sbt’, ‘kubernetes’, ‘docker’, ‘mysql’, ‘sql']"
Scala,"['Scala', 'Spark', ‘Cats’, ‘ScalaTest’, ‘Specs2’, ‘sbt’]"
Scala,"['Scala', 'Spark', ‘Cats’, ‘ScalaTest’, ‘Specs2’, ‘sbt’]"
Scala,"[‘Akka’,‘sbt’, ‘docker’, ‘kubernetes’, ‘mysql’]"
Scala,"['Scala', 'Spark', ‘sbt’]"
Scala,"['Scala', 'Spark',  ‘Scalding’, ‘Play’, ‘Lift’, ‘Scalatra’, ‘Scalaz’, ‘sbt’, ‘docker']"
Scala,"['Scala', 'Spark', ‘Akka’, ‘sbt’]"
Scala,"['Scala', 'Spark', ‘sbt’, ‘java’, ‘docker’, ‘python’, ‘object oriented programming language’ , ‘kubernetes']"
Scala,"['Scala', 'Spark', ‘Cats’, ‘ScalaTest’, ‘Specs2’, ‘sbt’, ‘docker']"
Scala,"['Scala','Hbase','Python', 'Mysql', 'Hive','Api', 'Hadoop', 'Java', 'Sql', 'Spark']"
Scala,"[‘machine learning algoirthms’, ‘naive Bayes Classifier’, ‘K Means Clustering’, ‘Support Vector Machine’, ‘Linear Regression’, ‘Logistic Regression’, ‘Decision Trees’, ‘Random Forests’, ‘applied mathematics’, ‘probablity’, ‘classification algorithm’, ‘clustering algorithms’, ‘regression algorithms’, ‘neural network’, ‘computer vision’, ‘python’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’]"
ML Engineer,"[‘machine learning algoirthms’, ‘naive Bayes Classifier’, ‘K Means Clustering’, ‘Support Vector Machine’, ‘Linear Regression’, ‘Logistic Regression’, ‘Decision Trees’, ‘Random Forests’, ‘applied mathematics’, ‘probablity’, ‘classification algorithm’, ‘clustering algorithms’, ‘regression algorithms’, ‘neural network’, ‘computer vision’, ‘python’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’, ‘tensorflow', ‘mysql’, ‘docker’, ‘postgres’,’kubeflow']"
ML Engineer,"[‘machine learning algoirthms’, ‘naive Bayes Classifier’, ‘K Means Clustering’, ‘Support Vector Machine’, ‘Linear Regression’, ‘Logistic Regression’, ‘Decision Trees’, ‘Random Forests’, ‘applied mathematics’, ‘probablity’, ‘classification algorithm’, ‘clustering algorithms’, ‘regression algorithms’, ‘neural network’, ‘computer vision’, ‘python’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’, ‘tensorflow', ‘mysql’, ‘docker']"
ML Engineer,"[‘machine learning algoirthms’, ‘naive Bayes Classifier’, ‘K Means Clustering’, ‘Support Vector Machine’, ‘Linear Regression’, ‘Logistic Regression’, ‘Decision Trees’, ‘Random Forests’, ‘applied mathematics’, ‘probablity’, ‘classification algorithm’, ‘clustering algorithms’, ‘regression algorithms’, ‘neural network’, ‘computer vision’, ‘python’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’]"
ML Engineer,"[‘machine learning algoirthms’, ‘naive Bayes Classifier’, ‘vertex ai’, ‘dialogflow’, ‘document ai’, ‘kubeflow’, ‘mlops’, ‘mysql’, ‘mongodb’, ‘postgresql’]"
ML Engineer,"[‘R’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’, ‘linux’, ‘kubernetes']"
ML Engineer,"[‘machine learning algoirthms’, ‘classification algorithm’, ‘clustering algorithms’, ‘regression algorithms’, ‘neural network’, ‘computer vision’, ‘python’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’]"
ML Engineer,"[‘naive Bayes Classifier’, ‘K Means Clustering’, ‘Support Vector Machine’, ‘Linear Regression’, ‘Logistic Regression’, ‘Decision Trees’, ‘Random Forests’, ‘applied mathematics’, ‘probablity’, ‘classification algorithm’, ‘clustering algorithms’, ‘regression algorithms’, ‘neural network’, ‘python’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’, ‘data modelling and evaluation’, ‘loss functions’, ‘dialogflow’,’bigquery’,’augumented reality’]"
ML Engineer,"[‘naive Bayes Classifier’, ‘K Means Clustering’, ‘Support Vector Machine’, ‘Linear Regression’, ‘Logistic Regression’, ‘Decision Trees’, ‘Random Forests’, ‘applied mathematics’, ‘probablity’, ‘classification algorithm’, ‘clustering algorithms’, ‘regression algorithms’, ‘neural network’, ‘python’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’, ‘data modelling and evaluation’, ‘loss functions’, ‘dialogflow’,’bigquery’,’augumented reality’]"
ML Engineer,"[‘machine learning algoirthms’, ‘naive Bayes Classifier’, ‘K Means Clustering’, ‘Support Vector Machine’, ‘Linear Regression’, ‘Logistic Regression’, ‘Decision Trees’, ‘Random Forests’, ‘applied mathematics’, ‘probablity’, ‘classification algorithm’, ‘clustering algorithms’, ‘regression algorithms’, ‘neural network’, ‘computer vision’, ‘python’, ‘pandas’, ‘seaborn’, ‘numpy’, ‘nlu’, ‘nlp’, ‘natural language processing’, ‘tensorflow’, ‘Statistics’, ‘docker’, ‘mlops’, ‘ci/cd’, ‘scripting']"
Finance,"[‘gaap’, ‘excel’, ‘quickbooks’, ‘business intelligence’, ‘financial statements’]"
Finance,"[‘gaap’, ‘accounting skills’, ‘sec filings’, ‘financial modeling’, ‘leveraged buyout modeling’, ‘excel’, ‘corporate vaulation’]"
Finance,"[‘excel’, ‘leverage financial modeling software’, ‘gaap’]"
Finance,"[‘accounting skills’, ‘cash flow management’, ‘business intelligence software’, ‘excel’]"
Finance,"[‘gaap’, ‘ledger’, ‘jounral entry’, ‘excel’, ‘reconcilations’, ‘cash flow management’, ‘accounting techniques’]"
Finance,"[‘quickbooks’, ‘excel’, ‘cash flow statements’, ‘balance sheets’, ‘ledger’]"
Frontend,"[‘react’, ‘’javascript’, ‘css’, ‘html’, ‘dom manipulation’, ‘json’, ‘ajax’, ‘nodejs’, ‘mysql’]"
Frontend,"[‘html’, ‘css’, ‘javascript’, ‘jquery’, ‘bootstrap’, ‘git’]"
Frontend,"[‘html’, ‘css’, ‘javascript’, ‘typescript’, ‘cross-browser compatibility’, ‘version control’, ‘nodejs’, ‘react’]"
Frontend,"[‘angularjs’, ‘ember’, ‘reactjs’, ‘nodejs’, ‘html’, ‘css’, ‘git’, ‘javascript’, ‘seo’]"
Frontend,"[‘html’, ‘css’, ‘javascript’, ‘jqery’, ‘ javascript frameworks’, ‘front end frameworks’, ‘restful apis’, ‘git’]"
Project Manager,"[‘scrum’, ‘kanban’, ‘stories’, ‘metrices’, ‘project scheduling’ , ‘agile’ , ‘lean thinking’, ‘budgeting’, ‘ performance tracking’, ‘forecasting’, ‘ financial modelling’, ‘project lifecycle management’]"
Project Manager,"[‘scrum’, ‘agile’, ‘communincation’, ‘waterfall’, ‘lean’, ‘prince2’, ‘team management’, ‘cost management’, ‘project planning’, ‘risk management’, ‘project scheduling’]"
Project Manager,"[‘risk management’, ‘budgeting’, ‘tracking and monitoring’, ‘scrum’, ‘agile’, ‘kanban’, ‘project management’, ‘project scheduling’, ‘time management’, ‘collaboration’]"
Project Manager,"[‘agile methodology’, ‘budgeting’, ‘project schedule’, ‘risk and issue management’, ‘scope change management’, ‘kanban’, ‘scrum’, ‘prince2’, ‘lean’, ‘waterfall’, ‘project lifecycle management’]"
Project Manager,"[‘stories management’, ‘epic’, ‘scrum’, ‘kanban’, ‘issue management’, ‘time management’, ‘budgeting’, ‘forevasting’, ‘lean’]"
Project Manager,"[‘financial modelling’, ‘project management’, ‘project planning’, ‘time management’]"
Project Manager,"[‘stories’, ‘forecasting’, ‘budgeting’, ‘project management’, ‘cost management’]"
